code,year,population,gdp_pc,capital_growth_pct_gdp,gdp
ABW,2020,106766.0,,,
ABW,2019,106310.0,,,
ABW,2018,105846.0,,21.5752457811446,
ABW,2017,105361.0,26631.4690408183,20.5511841444614,2805918209.60966
ABW,2016,104865.0,26232.7776632148,20.5750010423655,2750900229.65302
ABW,2015,104339.0,25822.7463429042,21.5389472592588,2694319530.67228
ABW,2014,103776.0,24562.7609355826,23.1114770671799,2549025078.85102
ABW,2013,103165.0,24634.3321496859,23.8258550178984,2541400876.22235
ABW,2012,102565.0,23780.097972236,26.647564469914,2439005748.52239
ABW,2011,102050.0,24232.0512333462,28.5056967572305,2472880828.36298
ABW,2010,101665.0,23513.527696809,28.9319934564151,2390502793.29609
ABW,2009,101452.0,24464.4156064001,30.2928683210373,2481963892.1005
ABW,2008,101362.0,27364.8512655308,33.2519332519333,2773756053.97674
ABW,2007,101226.0,27426.4947563631,32.5144199957274,2776274358.20761
ABW,2006,100830.0,27047.2971737399,35.1612903225806,2727178974.02819
ABW,2005,100028.0,26980.6945684316,33.5810162991371,2698824916.29108
ABW,2004,98744.0,27003.6149972914,28.7791426422662,2666444959.29254
ABW,2003,97016.0,25469.5501282445,29.2150359314538,2470953875.24177
ABW,2002,94992.0,25508.3027198476,26.9064748201439,2423084691.96376
ABW,2001,92892.0,26967.7966325902,23.712540005819,2505092564.79457
ABW,2000,90866.0,28413.3185989703,25.4959027636962,2581804607.81403
ABW,1999,89009.0,26953.1935755957,30.8709032009106,2399076806.9702
ABW,1998,87280.0,27150.9904582637,31.7057704502219,2369738447.19726
ABW,1997,85450.0,27190.8196784272,30.2314217155694,2323455541.5216
ABW,1996,83211.0,26084.3270120899,28.4600405646666,2170502935.00301
ABW,1995,80324.0,26705.1813209964,31.1382818945275,2145066984.42771
ABW,1994,76705.0,27270.5323011062,,2091786180.15635
ABW,1993,72495.0,26666.5179039677,,1933189215.44814
ABW,1992,68240.0,26400.0342464356,,1801538336.97676
ABW,1991,64623.0,26328.905711765,,1701452873.81139
ABW,1990,62152.0,25356.5629547813,,1575961100.76557
ABW,1989,61033.0,24837.5439985966,,1515909822.86634
ABW,1988,61072.0,22136.5542459845,,1351923640.91077
ABW,1987,61838.0,18426.1215390034,,1139434503.72889
ABW,1986,62645.0,15669.3659062795,,981607427.198877
ABW,1985,63024.0,,,
ABW,1984,62826.0,,,
ABW,1983,62213.0,,,
ABW,1982,61341.0,,,
ABW,1981,60561.0,,,
ABW,1980,60097.0,,,
ABW,1979,59972.0,,,
ABW,1978,60102.0,,,
ABW,1977,60366.0,,,
ABW,1976,60586.0,,,
ABW,1975,60653.0,,,
ABW,1974,60527.0,,,
ABW,1973,60236.0,,,
ABW,1972,59849.0,,,
ABW,1971,59442.0,,,
ABW,1970,59070.0,,,
